ACCE_ABSORB_CHANCE	Absorption rate: %d%%
SKILL_FISHMIND	Fishing marble is active
SKILL_GAMJI	Capture
SKILL_GEOMGYEONG	Aura of the sword
SKILL_GICHEON	Dragon's aid
SKILL_GIGONG	Chi rotation
SKILL_GONGPO	Fear
SKILL_GRADE_NAME_GRAND_MASTER	%s Grand master
SKILL_GRADE_NAME_MASTER	%s Master
SKILL_GRADE_NAME_PERFECT_MASTER	%s Perfect master
SKILL_GROUP_ASSASSIN_1	Blade
SKILL_GROUP_ASSASSIN_2	Arc
SKILL_GROUP_HORSE	Riding
SKILL_GROUP_SHAMAN_1	Dragon
SKILL_GROUP_SHAMAN_2	Healing
SKILL_GROUP_SURA_1	Weapon
SKILL_GROUP_SURA_2	Magic
SKILL_GROUP_WARRIOR_1	Body
SKILL_GROUP_WARRIOR_2	Mental
SKILL_GWIGEOM	Enchanted blade
SKILL_GYEONGGONG	Feather walking
SKILL_HEUKSIN	Dark protection
SKILL_HOSIN	Blessing
SKILL_INC_ATKSPD	Attack speed raised
SKILL_INC_MOVSPD	Movement speed raised
SKILL_JEOJU	Curse
SKILL_JEONGEOP	Healing
SKILL_JEONGWI	Berserk
SKILL_JEONSINBANGEO	Full defence
SKILL_JEONSINGONGGYEOK	Full attack
SKILL_JEUNGRYEOK	Attack +
SKILL_JEUNGSOK	Speed +
SKILL_JUMAGAP	Enchanted armour
SKILL_KWAESOK	Speed
SKILL_MUYEONG	Ghost of the flame
SKILL_NEED_EMPTY_BOTTLE	I do not have an empty bottle.
SKILL_NEED_POISON_BOTTLE	I do not have a poison bottle
SKILL_ONLY_FOR_GUILD_WAR	You can use this skill during a guild war only.
SKILL_PABEOP	Neutralize spell
SKILL_POWERFUL_STRIKE	Dazing attack
SKILL_SEOMGWANG	Lightning bomb
SKILL_SLEEP	Sleep
SKILL_SLOW	Slow
SKILL_STUN	Daze
SKILL_SUHO	Guard
SKILL_SUMMON_DESCRIPTION	Chance of the evocation: %d%%
SKILL_TOOLTIP_INT	Intelligence
SKILL_TOOLTIP_LEVEL	Level
SKILL_TOXICDIE	Poisoning
SKILL_TOXICPOWER	Poison attack value increased
SKILL_TUSOK	Ghost hit
SPECIAL_CHAT_PICK	|Eemoji/key_plus|e %s
SPECIAL_INVENTORY_CHANGERS	Changers
SPECIAL_INVENTORY_CHEST	Chest
SPECIAL_INVENTORY_MALL	Item-Shop
SPECIAL_INVENTORY_MATERIAL	Materials
SPECIAL_INVENTORY_SAFEBOX	Safebox
SPECIAL_INVENTORY_SAFEBOX_OPEN	Please wait, safebox is opening.
SPECIAL_INVENTORY_SKILL_BOOK	Books
SPECIAL_INVENTORY_STONE	Stones
STATS_BOARD_JINNO_PLAYERS	Jinno players
STATS_BOARD_SHINSOO_PLAYERS	Shinsoo players
STATS_BOARD_CHUNJO_PLAYERS	Chunjo players
STATS_BOARD_PLAYERS_KILLED	Players killed
STATS_BOARD_DUELS_WON	Won duels
STATS_BOARD_LOST_DUELS	Lost duels
STATS_BOARD_KILLED_MONSTER	Killed monsters
STATS_BOARD_DEFEATED_BOSSES	Defeated bosses
STATS_BOARD_DESTROYED_STONES	Destroyed stones
STAT_MINUS_CON	Vitality adjustment (remaining chance: %d)
STAT_MINUS_DEX	Dexterity adjustment (remaining chance: %d)
STAT_MINUS_INT	Intelligence adjustment (rest of chance: %d)
STAT_MINUS_STR	Strength adjustment (rest of chance: %d)
STAT_TOOLTIP_ADD	Add x1 status point.
STAT_TOOLTIP_ADD_2	Add x10 status points.
STAT_TOOLTIP_BONUS	Character Bonus
STAT_TOOLTIP_IMG_CON	Vitality
STAT_TOOLTIP_IMG_INT	Intelligence
STAT_TOOLTIP_IMG_STR	Strength
STAT_TOOLTIP_IMG_DEX	Dexterity
STAT_TOOLTIP_IMG_HEL	HP
STAT_TOOLTIP_IMG_SP	SP
STAT_TOOLTIP_IMG_ATT	Attack value
STAT_TOOLTIP_IMG_DEF	Defence
STAT_TOOLTIP_MOVE_SPEED	Movement speed
STAT_TOOLTIP_ATT_SPEED	Attack speed
STAT_TOOLTIP_CAST_SPEED	Casting speed
STAT_TOOLTIP_MAG_ATT	Magic attack value
STAT_TOOLTIP_MAG_DEF	Magical defence
STAT_TOOLTIP_MAG_ER	Evasion value
STAT_TOOLTIP_CON	Increases HP and defence
STAT_TOOLTIP_DEX	Increases attack and evasion
STAT_TOOLTIP_INT	Increases SP, magic attack and defence
STAT_TOOLTIP_STATS	Statistics
STAT_TOOLTIP_STATUS	Character Status
STAT_TOOLTIP_STR	Increases attack value and damage
SWITCHBOT_TITLE	Switchbot
SWITCHBOT_START	Start
SWITCHBOT_STOP	Stop
SWITCHBOT_RESET	Reset
SWITCHBOT_ALTERNATIVES	Possible alternatives
SWITCHBOT_EMPTY_ATTR	- Empty -
SWITCHBOT_SELECT_ATTR	Choose bonus
SWITCHBOT_CLEAR_ATTR	Delete
SWITCHBOT_LOAD_CONFIGURATION	Load
SWITCHBOT_CLEAR_CONFIGURATION	Clear
SYMBOLLIST_TITLE	Register guild flag
SYSTEM_WHISPER	[Nirvana2]
TARGET_BUTTON_ACCEPT_FIGHT	Agree
TARGET_BUTTON_AVENGE	Revenge
TARGET_BUTTON_BLOCK	Block
TARGET_BUTTON_BUILDING_DESTROY	Destroy
TARGET_BUTTON_DISMOUNT	Dismount
TARGET_BUTTON_EMOTION_ALLOW	Emotions
TARGET_BUTTON_EXCHANGE	Trading
TARGET_BUTTON_EXCLUDE	Exclude
TARGET_BUTTON_EXIT_OBSERVER	End observer mode
TARGET_BUTTON_FIGHT	Duel
TARGET_BUTTON_FRIEND	Friend
TARGET_BUTTON_INVITE_GUILD	Guild invitation
TARGET_BUTTON_INVITE_PARTY	Group invitation
TARGET_BUTTON_LEAVE_PARTY	Leave group
TARGET_BUTTON_REQUEST_ENTER_PARTY	Join group
TARGET_BUTTON_UNBLOCK	Unblock
TARGET_BUTTON_VIEW_EQUIPMENT	Equipment
TARGET_BUTTON_WHISPER	Whispering
TARGET_LEVEL_BOSS	Boss
TARGET_LEVEL_KING	Level 5.
TARGET_LEVEL_KNIGHT	Level 3.
TARGET_LEVEL_PAWN	Level 1.
TARGET_LEVEL_S_KNIGHT	Level 4.
TARGET_LEVEL_S_PAWN	Level 2.
TASKBAR_ATTACK	Attack
TASKBAR_AUTO	Attack automatically
TASKBAR_CAMERA	Camera
TASKBAR_EXP	Experience
TASKBAR_HP	HP
TASKBAR_MOVE	Move
TASKBAR_SKILL	Skill
TASKBAR_SP	SP
TASKBAR_ST	ST
TELEPORT_WINDOW_CLASS_0	Kingdoms
TELEPORT_WINDOW_CLASS_1	Dungeons
TELEPORT_WINDOW_CLASS_2	Beta
TELEPORT_WINDOW_CLASS_3	Others
TELEPORT_WINDOW_CONFIRM_WARP	Are you sure you want to teleport in |cff58aa51%s?
TELEPORT_WINDOW_ITEM_ICON_TOOLTIP	Item required
TELEPORT_WINDOW_ITEM_REQ	Item required: |cff24ff00%s|h|r
TELEPORT_WINDOW_ITEM_REQ_DESC_0	You can obtain the item from
TELEPORT_WINDOW_ITEM_REQ_DESC_1	General Monsters and Bosses
TELEPORT_WINDOW_LEVEL_ICON_TOOLTIP	Level required (Min-Max)
TELEPORT_WINDOW_LEVEL_REQ	Minimum: |cff24ff00%d|h|r / Maximum: |cff24ff00%d|h|r
TELEPORT_WINDOW_MONEY_ICON_TOOLTIP	Teleportation Costs (Yang)
TELEPORT_WINDOW_MONEY_REQ	Yang: |cff24ff00%s|h|r
TELEPORT_WINDOW_NO_ITEM_REQ	You can teleport for free!
TELEPORT_WINDOW_UNSELECTED_MAP_INDEX	Please select a map!
THING_COUNT	all
TITLE_SYSTEM_NAME_0	No Title
TITLE_SYSTEM_NAME_1	Apprentice
TITLE_SYSTEM_NAME_2	Friend for life
TITLE_SYSTEM_NAME_3	Animal trainer
TITLE_SYSTEM_NAME_4	Almost hero
TITLE_SYSTEM_NAME_5	Destroyer
TITLE_SYSTEM_NAME_6	Hunter
TITLE_SYSTEM_NAME_7	Soul Hunter
TITLE_SYSTEM_NAME_8	Ghost Rider
TITLE_SYSTEM_NAME_9	Death Reaper
TITLE_SYSTEM_NAME_10	Dragon Tamer
TITLE_SYSTEM_NAME_11	Romantic
TITLE_SYSTEM_NAME_12	Titanium
TITLE_SYSTEM_NAME_13	Demons Magician
TITLE_SYSTEM_NAME_14	Fearless
TITLE_SYSTEM_NAME_15	Eternal
TITLE_SYSTEM_NAME_16	Dragon Hunter
TITLE_SYSTEM_NAME_17	Expert
TITLE_SYSTEM_NAME_18	Legendary
TITLE_SYSTEM_NAME_19	PvP God
TITLE_SYSTEM_NAME_20	PvM God
TOOLTIP_ANTIFLAG_DESTROY	Delete
TOOLTIP_ANTIFLAG_DROP	Drop
TOOLTIP_ANTIFLAG_GIVE	Trade
TOOLTIP_ANTIFLAG_MYSHOP	Shop
TOOLTIP_ANTIFLAG_NOT_POSSIBLE	[ impossible ]
TOOLTIP_ANTIFLAG_PKDROP	PvP-Drop
TOOLTIP_ANTIFLAG_SAFEBOX	Safebox
TOOLTIP_ANTIFLAG_SELL	Sell
TOOLTIP_ANTIFLAG_STACK	Stack
TOOLTIP_ANTI_CRITICAL_PCT	Resistance against critical hits +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Resistance against piercing hits +%d%%	SA
TOOLTIP_ANTI_SELL	Cannot be sold in the shop.
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Strong against animals +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Strong against ninjas +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOSS	Strong against boss +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DARK	Strong against dark +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Strong against devils +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_EARTH	Strong against earth +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ELEC	Strong against lightning +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_FIRE	Strong against fire +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Strong against half humans +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ICE	Strong against ice +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_METIN	Strong against metin stones +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Strong against mystics +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Strength against monsters +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Strong against orcs +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Strong against shamans +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Strong against sura +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Strong against undead +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Strong against warriorr +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WIND	Strong against wind +%d%%	SA
TOOLTIP_APPLY_BLOCK	Chance to block a close-combat attack %d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Recover SP all 5 seconds in a battle %d	SA
TOOLTIP_APPLY_CRITICAL_PCT	Chance of critical hit +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	Chance %d%% to get back SP when hit	SA
TOOLTIP_APPLY_DODGE	Chance %d%% to avoid arrows	SA
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	Chance %d%% for EXP-Bonus	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	Chance %d%% to drop double Yang	SA
TOOLTIP_APPLY_IMMUNE_FALL	Immune against falling down	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Defence against slowing	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Defence against blackouts	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	Chance %d%% to drop double the items	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	Chance %d%% to restore HP	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	Chance %d%% to restore SP	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% chance to rob SP	SA
TOOLTIP_APPLY_MAX_HP_PCT	Max. HP +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Max. SP +%d%%	SA
TOOLTIP_APPLY_NOAFFECT	No effect
TOOLTIP_APPLY_NO_DEATH_PENALTY	No experience points will be lost if your character is revived at the place of his death.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	Chance %d%% for piercing hits	SA
TOOLTIP_APPLY_POISON_PCT	Poisoning chance %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Poison resistance %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	%d%% potion effect raise	SA
TOOLTIP_APPLY_REFLECT_CURSE	Chance %d%% to reflect curse	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% chance to reflect close combat hits	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Defence chance against ninja attacks: %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Bell defence %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Dagger defence %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Fan defence %d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Defence chance against shaman attacks: %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Defence chance against sura attacks: %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Sword defence %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Two-Handed defence %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Defence chance against warrior attacks %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Wind resistance %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Chance to learn from books upgraded by factor 2.5	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	If learning fails you immediately have another try for free	SNA
TOOLTIP_APPLY_SLOW_PCT	Slowing chance %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% damage will be absorbed by HP	SA
TOOLTIP_APPLY_STEAL_SP	%d%% damage will be absorbed by SP	SA
TOOLTIP_APPLY_STUN_PCT	Blackout chance %d%%	SA
TOOLTIP_ARMOR	Armor
TOOLTIP_ARROW	Arrow
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATT_GRADE	Attack value +%d	SA
TOOLTIP_ATT_SPEED	Attack speed +%d%%	SA
TOOLTIP_AUTO_POTION_HP	Sun Elixir
TOOLTIP_AUTO_POTION_REST	Remainder: %.2f%%
TOOLTIP_AUTO_POTION_SP	Moon Elixir
TOOLTIP_AUTO_POTION_USING	Active
TOOLTIP_BOW_DISTANCE	Range +%d m	SA
TOOLTIP_BUYPRICE	Price: %s
TOOLTIP_NO_BUYPRICE	Free
TOOLTIP_CAST_SPEED	Casting speed +%d%%	SA
TOOLTIP_CON	Vitality +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Costume bonus %d%%	SA
TOOLTIP_COSTUME_EXTEND_TIME	Extend for %d days
TOOLTIP_DEF_GRADE	Defence +%d	SA
TOOLTIP_DEX	Dexterity +%d	SA
TOOLTIP_DRAGON_SOUL_DECK1	Sky	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Earth	SNA
TOOLTIP_EAR	Earring
TOOLTIP_EMOJI	Emoji
TOOLTIP_EMOJI_ACTIONS	Actions
TOOLTIP_EMOJI_ACTIVITIES	Activities
TOOLTIP_EMOJI_CLOSE	Close Emoji
TOOLTIP_EMOJI_FLAGS	Flags
TOOLTIP_EMOJI_FOOD	Food
TOOLTIP_EMOJI_NATURE	Nature
TOOLTIP_EMOJI_OBJECTS	Objects
TOOLTIP_EMOJI_OPEN	Open Emoji
TOOLTIP_EMOJI_PEOPLE	People
TOOLTIP_EMOJI_PLACES	Places
TOOLTIP_EMOJI_RECENT	Recent
TOOLTIP_EMOJI_SIMBOLS	Simbols
TOOLTIP_EMOJI_USED_ONCE	Emoji used only once.
TOOLTIP_EMOJI_USED_MORE	Emoji used %s times.
TOOLTIP_ENERGY	Energy %d	SA
TOOLTIP_ETC	And so on
TOOLTIP_EVENT_MONDAY	Monday
TOOLTIP_EVENT_TUESDAY	Tuesday
TOOLTIP_EVENT_WEDNESDAY	Wednesday
TOOLTIP_EVENT_THURSDAY	Thursday
TOOLTIP_EVENT_FRIDAY	Friday
TOOLTIP_EVENT_SATURDAY	Saturday
TOOLTIP_EVENT_SUNDAY	Sunday
TOOLTIP_EVENT_TYPE_EXPERIENCE	Experience Event
TOOLTIP_EVENT_TYPE_ITEM_DROP	Loot Event
TOOLTIP_EVENT_TYPE_BOSS	Boss Hunt
TOOLTIP_EVENT_TYPE_METIN	Metin Shower
TOOLTIP_EVENT_TYPE_MINING	Mining Event
TOOLTIP_EVENT_TYPE_GOLD_FROG	Gold Frog Event
TOOLTIP_EVENT_TYPE_MOONLIGHT	Moonlight Treasure Event
TOOLTIP_EVENT_TYPE_HEXEGONAL_CHEST	Hexegonal Chest Event
TOOLTIP_EVENT_TYPE_FISHING	Fishing Event
TOOLTIP_EVENT_TYPE_HIDE_AND_SEEK	Hide & Seek
TOOLTIP_EVENT_TYPE_OX	OX Event
TOOLTIP_EVENT_TYPE_TANAKA	Tanaka Event
TOOLTIP_EVENT_TYPE_YANG	Yang Event
TOOLTIP_EXPANDED_COINS	Dragon Coins
TOOLTIP_EXPANDED_YANG	Yang
TOOLTIP_FISHINGROD_EXP	Points %d / %d
TOOLTIP_FISHINGROD_LEVEL	Level: %d
TOOLTIP_FISHINGROD_UPGRADE1	Give to the Fisherman
TOOLTIP_FISHINGROD_UPGRADE2	to get a better
TOOLTIP_FISHINGROD_UPGRADE3	Fishing Pole.
TOOLTIP_FISH_LEN	Lenght: %.2fcm
TOOLTIP_HELMET	Helmet
TOOLTIP_HP_REGEN	HP regeneration +%d%%	SA
TOOLTIP_INT	Intelligence +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Attack value %d
TOOLTIP_ITEM_ATT_POWER	Attack value %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Attack value %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Attack value %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Attacking speed %s
TOOLTIP_ITEM_DEF_GRADE	Defence %d
TOOLTIP_ITEM_FAST	Fast
TOOLTIP_ITEM_LIMIT_CON	Vitality upper limit: %d
TOOLTIP_ITEM_LIMIT_DEX	Dexterity upper limit: %d
TOOLTIP_ITEM_LIMIT_INT	Intelligence upper limit: %d
TOOLTIP_ITEM_LIMIT_LEVEL	From level: %d
TOOLTIP_ITEM_LIMIT_STR	Strenght upper limit: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Magical attack value %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Magical attack value %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Magical defence %d
TOOLTIP_ITEM_NORMAL	Normal
TOOLTIP_ITEM_SLOW	Slow
TOOLTIP_ITEM_VERY_FAST	Very fast
TOOLTIP_ITEM_VERY_SLOW	Very slow
TOOLTIP_ITEM_VNUM	Item %d
TOOLTIP_ITEM_WEARABLE_JOB	[ wearable ]
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Lucky number: %d
TOOLTIP_MAGIC_ATTBONUS_PER	Magic attack +%d%%	SA
TOOLTIP_MAGIC_ATT_GRADE	Magical attack value +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Magical defence +%d	SA
TOOLTIP_MALL_ATTBONUS	Attack attack +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Attack attack	SNA
TOOLTIP_MALL_AUTOLOOT	A hand that picks up dropped Yang automatically	SNA
TOOLTIP_MALL_DEFBONUS	Defence +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Defence	SNA
TOOLTIP_MALL_EXPBONUS	EXP +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	Increases gaining EXP by 50%	SNA
TOOLTIP_MALL_FISH_MIND	Your chance of catching a rare fish is doubled.	SNA
TOOLTIP_MALL_GOLDBONUS	Yang drop chance increased by %d%%	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Double Yang drop chance	SNA
TOOLTIP_MALL_ITEMBONUS	Item drop chance increased by %d%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Item drop chance increased by 200%.	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Lovepoints raise faster.	SNA
TOOLTIP_MALL_SAFEBOX	Your storeroom gets 2 storage rooms	SNA
TOOLTIP_MAX_HP	Max. HP +%d	SA
TOOLTIP_MAX_HP_PCT	Max. HP +%d%%	SA
TOOLTIP_MAX_SP	Max. SP +%d	SA
TOOLTIP_MAX_SP_PCT	Max. SP +%d%%	SA
TOOLTIP_MAX_STAMINA	Max. Endurance +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Magic/melee attack +%d%%	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS-ERROR(%d, %d)
TOOLTIP_MOV_SPEED	Movement speed %d%%	SA
TOOLTIP_MULTI_FARM_EXTRA_ACCOUNT	Increase count: (+%d)
TOOLTIP_NECK	Necklace
TOOLTIP_NEED_ALL_SP	Needed SP: Max.
TOOLTIP_NEED_GSP	Needed Dragon ghost: %d
TOOLTIP_NEED_HP	Needed HP: %d
TOOLTIP_NEED_HP_PER_SEC	HP / Sec.: %d
TOOLTIP_NEED_SKILL_POINT	Needed skill points:
TOOLTIP_NEED_SP	Needed SP: %d
TOOLTIP_NEED_SP_PER_SEC	SP / Sec.: %d
TOOLTIP_NEW_AFFECT_AUTO_PICK_UP	Auto Pickup Enabled	SNA
TOOLTIP_NEW_AFFECT_PREMIUM_ACCOUNT	Premium Account	SNA
TOOLTIP_NEXT_SKILL_LEVEL_1	Next level: %d (Max. %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	Next level: %d (Max. %d-%d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Average damage %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Average damage resistance %d%%	SA
TOOLTIP_PARTY_INFO_GRADE_UP1	More than %d group members
TOOLTIP_PARTY_INFO_GRADE_UP2	Attack level +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	Defence level +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	Restore HP/SP of all group members all 60 minutes.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	Restore HP/SP of all group members all 30 minutes.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	You have to wait 3 minutes after the death of a group member.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	You can call group members who are on the same server anytime.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Attack level +(Number of Group members./2) attacker %d can be chosen.
TOOLTIP_PARTY_INFO_SET_TANKER	Defence level +(Number of Group members) blade fighters 1 can be chosen.
TOOLTIP_PARTY_SKILL_LEVEL	Current level: %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[Attack/Defence upgraded]
TOOLTIP_PARTY_TITLE_HEAL	[Restore]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	When you have more than %d group members you get %d%% Bonus-EXP .
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Bonus-EXP]
TOOLTIP_PARTY_TITLE_RECALL	[Call]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Constitute attacker]
TOOLTIP_PARTY_TITLE_SET_TANKER	[Constitute blade fighter]
TOOLTIP_PICK_EXP	Points: %d / %d
TOOLTIP_PICK_LEVEL	Level: %d
TOOLTIP_PICK_UPGRADE1	Give to the Lumberjack
TOOLTIP_PICK_UPGRADE2	to get a better
TOOLTIP_PICK_UPGRADE3	Pickaxe.
TOOLTIP_POTION_CURE	Cure negative effects.
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Attack speed +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	HP +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	HP +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Movement speed +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	SP +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	SP +%d
TOOLTIP_POTION_SEC	Sec.
TOOLTIP_POTION_TIME	Duration:
TOOLTIP_POTION_UNLIMITED	Duration: Unlimited
TOOLTIP_REQUIREMENT_21_LEVEL	You must have reached Level 21.
TOOLTIP_REQUIREMENT_41_LEVEL	You must have reached Level 41.
TOOLTIP_REQUIREMENT_LEVEL	You must have reached Level %d.
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s level %d needed.
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d needed
TOOLTIP_RESIST_BOW	Arrow Defence %d%%	SA
TOOLTIP_RESIST_DARK	Resistance against darkness +%d%%	SA
TOOLTIP_RESIST_EARTH	Earth resistance +%d%%	SA
TOOLTIP_RESIST_ELEC	Lightning resistance %d%%	SA
TOOLTIP_RESIST_FIRE	Fire resistance %d%%	SA
TOOLTIP_RESIST_ICE	Ice resistance +%d%%	SA
TOOLTIP_RESIST_MAGIC	Magic resistance %d%%	SA
TOOLTIP_REST_USABLE_COUNT	Left: %d
TOOLTIP_SEALED	Soulbound
TOOLTIP_SELLPRICE	Price: %s
TOOLTIP_SHAMAN	Shaman
TOOLTIP_SHIELD	Shield
TOOLTIP_SHOES	Shoes
TOOLTIP_SKILL	Skills	SNA
TOOLTIP_SKILLBOOK_NAME	Skill book
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Attack value: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Attack value:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Attack speed: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Defence:
TOOLTIP_SKILL_AFFECT_DODGE	Opponent attack value: -
TOOLTIP_SKILL_AFFECT_HEAL	Restore HP:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Movement speed: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Chance to reflect close combat attack:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Resistance against body damage:
TOOLTIP_SKILL_COOL_TIME	Recharge:
TOOLTIP_SKILL_DAMAGE_BONUS	Skill damage %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Resistance against skill damage %d%%	SA
TOOLTIP_SKILL_DURATION	Duration: %d sec.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Book of Forgetfulness
TOOLTIP_SKILL_LEVEL	Current level: %d
TOOLTIP_SKILL_LEVEL_MASTER	Current level: %d (Master)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Current level: %d (Max. %d)
TOOLTIP_SOCKET_EMPTY	Empty
TOOLTIP_SOCKET_REFINABLE_ITEM	[Item with Socket]
TOOLTIP_SP_REGEN	SP Regeneration +%d%%	SA
TOOLTIP_STR	Strength +%d	SA
TOOLTIP_SURA	Sura
TOOLTIP_TIME_CHARGER_FIX	Time charging %d sec.	SA
TOOLTIP_TIME_CHARGER_PER	Time charging %d%%	SA
TOOLTIP_UNIQUE	Unique
TOOLTIP_WARRIOR	Warrior
TOOLTIP_WEAPON	Weapon
TOOLTIP_WRISTLET	Wristlet
TRACK_BOSS_COOLDOWN_FIELD	Map: %s
TRACK_BOSS_INFORMATION	World Boss
TRACK_BOSS_INFORMATION_NOTICE	Notify World Boss
TRACK_BOSS_LEVEL_FIELD	Recommended Level: %d - %d
TRACK_BOSS_PARTY_FIELD	Boss Cooldown: %s
