ACCE_ABSORB_CHANCE	Rata absorbției: %d%%
RENEWAL_SKILL_SELECT_JOB_SURA_SKILL_1_HEADER	Sura Arme Magice
RENEWAL_SKILL_SELECT_JOB_SURA_SKILL_2_HEADER	Sura Magie Neagră
RENEWAL_SKILL_SELECT_JOB_WARRIOR_SKILL_1_FOOTER	Luptă corp la corp
RENEWAL_SKILL_SELECT_JOB_WARRIOR_SKILL_2_FOOTER	Luptă psihică
RENEWAL_SKILL_SELECT_JOB_WARRIOR_SKILL_1_HEADER	Războinic Corporal
RENEWAL_SKILL_SELECT_JOB_WARRIOR_SKILL_2_HEADER	Războinic Mental
RENEWAL_SKILL_SELECT_SHAMAN_SKILL_IMG_DESC_LEFT	A fost creat și crescut cu scopul de a-și ajuta aliații oferindu-le putere în lovituri și protecție în luptă!
RENEWAL_SKILL_SELECT_SHAMAN_SKILL_IMG_DESC_RIGHT	Este capabil să își ofere sieși și aliaților săi viteză și[ENTER]regenerare în luptă fiind și un bun ucigaș!
RENEWAL_SKILL_SELECT_SURA_SKILL_IMG_DESC_LEFT	Un legionar din Teutoburg rămas în viață ca un[ENTER]mutant și fiind nevoit să supraviețuiască în pădurea[ENTER]morții, s-a specializat pe lupta contra monștrilor!
RENEWAL_SKILL_SELECT_SURA_SKILL_IMG_DESC_RIGHT	Un trădător al legiunii, fiind un vrăjitor de temut[ENTER]acesta reușește prin, abilitățile sale să pună pe fugă[ENTER]chiar și pe cei mai de temut luptatori!
RENEWAL_SKILL_SELECT_WARRIOR_SKILL_IMG_DESC_LEFT	Cunoscuți pentru iuțeala și atacurile de bază mari,[ENTER]războinicii corporali mai sunt numiți și berserkeri[ENTER]neÎnfricați!
RENEWAL_SKILL_SELECT_WARRIOR_SKILL_IMG_DESC_RIGHT	Solid ca și zidul chinezesc, războinicul mental este[ENTER]greu de pus la pământ, ajutat fiind de mobilitatea[ENTER]pe care o are!
RESTART_INSTANT_MESSAGE	Această opțiune te costă 500.000 Yang.
RESTART_CLIENT_DO_YOU_ACCEPT_1	Trebuie să repornești clientul pentru ca modificările să fie aplicate.
RESTART_CLIENT_DO_YOU_ACCEPT_2	Vrei să repornești clientul acum?
REVIVE_AUTO_TOWN_MESSAGE	Vei fi teleportat în oraș în: {}
SAFEBOX_ERROR	Ai introdus o parolă greșită.
SAFEBOX_SELL_DISABLE_SAFEITEM	Nu poți vinde nici unul din obiectele salvate.
SAFEBOX_WRONG_PASSWORD	Parolele trebuie să fie identice.
SCREENSHOT_SAVE1	Poza este salvată în
SCREENSHOT_SAVE2	directorul screenshot
SCREENSHOT_SAVE_FAILURE	Salvarea screenshotului eșuată.
SECOND	Sec
SECOND_CONFIRM_PET_FEED_QUESTION_1	Obiectul tău are %d sau mai multe bonusuri.
SECOND_CONFIRM_PET_FEED_QUESTION_2	Ești sigur că dorești să hrănești însoțitorul?
SELECT_CAN_NOT_DELETE	Nu poți șterge caracterul.
SELECT_CHANGED_NAME	Ai schimbat numele caracterului.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Numele caracterului există deja.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Mai încearcă odată.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Numele caracterului este greșit.
SELECT_CHANGE_NAME_TITLE	Schimbă numele caracterului
SELECT_DELEING	Caracterul se va șterge
SELECT_DELETED	Ștergerea s-a realizat.
SELECT_DO_YOU_DELETE_REALLY	Vrei să continui?
SELECT_EMPTY_SLOT	Acesta este un câmp gol.
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Introdu un nou nume.
SELECT_NOT_JOIN_GUILD	Nici o breaslă
SELL_PRICE_INFO	[Preț de vânzare]
SELL_PRICE_INFO_PCS	Bucată: %s
SELL_PRICE_INFO_ALL	Toate: %s
SERVER_NOTIFY_CLOSED	Server închis: pot intra doar conturile create înainte de închidere.
SERVER_STATUS_CLOSE	ÎNCHIS
SERVER_STATUS_NEW	NOU
SERVER_STATUS_SPECIAL	SPECIAL
SHIP_MAST	Catarg
SHOP_ALREADY_HAVE_ONE_ITEM	Poți avea doar un item de acest tip cu tine.
SHOP_BUY_INFO	Alege obiectul pe care vrei să-l cumperi în fereastra magazinului.
SHOP_CANNOT_SELL_EQUIPMENT	Nu poți vinde obiectele echipate.
SHOP_CANNOT_SELL_ITEM	Acest obiect nu este de vânzare.
SHOP_ERROR_UNKNOWN	Eroare necunoscută magazin: %s
SHOP_INVALID_POS	Acest obiect este nepotrivit.
SHOP_INVENTORY_FULL	Nu mai există loc în inventar.
SHOP_NOT_ENOUGH_COINS	Nu ai suficiente Monede Dragon.
SHOP_NOT_ENOUGH_EXP	Nu ai suficientă Experiență.
SHOP_NOT_ENOUGH_ITEM	Nu ai suficiente Obiecte.
SHOP_NOT_ENOUGH_MONEY	Nu ai suficienți Yang.
SHOP_SELL_INFO	Alege obiectul pe care vrei să-l vinzi din fereastra inventarului tău.
SHOP_SOLDOUT	Vândut
SHOT_ERROR_UNKNOWN	Eroare necunoscută în timpul atacului la distanță: %s
SKILL_BOHO	Reflectare
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Ai nevoie de EXP pentru a învăța calificarea aceasta.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Ai nevoie de o carte pentru a învăța această calificare.
SKILL_CHEONGEUN	Corp puternic
SKILL_COLOR_SELECT_FIRST	Alege o culoare.
SKILL_COLOR_PICK_TOOLTIP	Alege culoarea pentru %s. (Cod HEX : %s)
SKILL_COLOR_DO_YOU_RESET	Vrei să resetezi culoarea abilității?
SKILL_COLOR_DO_YOU_CHANGE	Vrei să schimbi culoarea abilității?
SKILL_CRITICAL	Lovitură critică
SKILL_ENCHANT_POISON	Folosește otravă
SKILL_EUNHYEONG	Invizibil
SKILL_FAINT	Necunoștiință
SKILL_FIND_TRAP	Caută capcană
SKILL_FIRE	Arde
SKILL_FISHMIND	Marmura de pescuit este activă
SKILL_GAMJI	Înregistrare
SKILL_GEOMGYEONG	Aura sabiei
SKILL_GICHEON	Ajutorul zmeului
SKILL_GIGONG	Rotația Chi
SKILL_GONGPO	Frică
SKILL_GRADE_NAME_GRAND_MASTER	%s Mare maestru
SKILL_GRADE_NAME_MASTER	%s Maestru
SKILL_GRADE_NAME_PERFECT_MASTER	%s Maestru perfect
SKILL_GROUP_ASSASSIN_1	Lamă
SKILL_GROUP_ASSASSIN_2	Arc
SKILL_GROUP_HORSE	Călărie
SKILL_GROUP_SHAMAN_1	Zmeu
SKILL_GROUP_SHAMAN_2	Vindecare
SKILL_GROUP_SURA_1	Arme
SKILL_GROUP_SURA_2	Magie
SKILL_GROUP_WARRIOR_1	Corp
SKILL_GROUP_WARRIOR_2	Mental
SKILL_GWIGEOM	Lamă fermecată
SKILL_GYEONGGONG	Ușurare
SKILL_HEUKSIN	Protecție întunecată
SKILL_HOSIN	Binecuvântare
SKILL_INC_ATKSPD	Viteza de atac a crescut
SKILL_INC_MOVSPD	Viteza de mișcare a crescut
SKILL_JEOJU	Blestem
SKILL_JEONGEOP	Vindecare
SKILL_JEONGWI	Beția de luptă
SKILL_JEONSINBANGEO	Apărare deplină
SKILL_JEONSINGONGGYEOK	Atac deplin
SKILL_JEUNGRYEOK	Atac +
SKILL_JEUNGSOK	Viteză +
SKILL_JUMAGAP	Armură fermecată
SKILL_KWAESOK	Repeziciune
SKILL_MUYEONG	Spiritul focului
SKILL_NEED_EMPTY_BOTTLE	Nu am nici o sticlă goală.
SKILL_NEED_POISON_BOTTLE	Nu am nici o sticlă de otravă.
SKILL_ONLY_FOR_GUILD_WAR	Poți folosi această calificare doar într-un război de bresle.
SKILL_PABEOP	Alungă vraja.
SKILL_POWERFUL_STRIKE	Atac anestezie
SKILL_SEOMGWANG	Bombă fulger
SKILL_SLEEP	Somn
SKILL_SLOW	Încet
SKILL_STUN	Anestezia
SKILL_SUHO	Paznic
SKILL_SUMMON_DESCRIPTION	Șansa incantației: %d%%
SKILL_TOOLTIP_INT	Inteligență
SKILL_TOOLTIP_LEVEL	Nivel
SKILL_TOXICDIE	Otrăvire
SKILL_TOXICPOWER	Atac otrăvitor îmbunătățit
SKILL_TUSOK	Lovitură de stafie
SPECIAL_CHAT_PICK	|Eemoji/key_plus|e %s
SPECIAL_INVENTORY_CHANGERS	Bonusuri
SPECIAL_INVENTORY_CHEST	Cufere
SPECIAL_INVENTORY_MALL	Item-Shop
SPECIAL_INVENTORY_MATERIAL	Materiale
SPECIAL_INVENTORY_SAFEBOX	Depozit
SPECIAL_INVENTORY_SAFEBOX_OPEN	Așteaptă, depozitul se deschide.
SPECIAL_INVENTORY_SKILL_BOOK	Cărți
SPECIAL_INVENTORY_STONE	Pietre
STATS_BOARD_JINNO_PLAYERS	Jucători Jinno
STATS_BOARD_SHINSOO_PLAYERS	Jucători Shinsoo
STATS_BOARD_CHUNJO_PLAYERS	Jucători Chunjo
STATS_BOARD_PLAYERS_KILLED	Jucători învinși
STATS_BOARD_DUELS_WON	Dueluri câștigate
STATS_BOARD_LOST_DUELS	Dueluri pierdute
STATS_BOARD_KILLED_MONSTER	Monștri uciși
STATS_BOARD_DEFEATED_BOSSES	Șefi învinși
STATS_BOARD_DESTROYED_STONES	Pietre distruse
STAT_MINUS_CON	Adaptarea vitalității (Șansă rămasă: %d)
STAT_MINUS_DEX	Adaptarea dexterității (Șansă rămasă: %d)
STAT_MINUS_INT	Adaptarea inteligenței (Șansă rămasă: %d)
STAT_MINUS_STR	Ajustarea puterii (Șansă rămasă: %d)
STAT_TOOLTIP_ADD	Adaugă x1 punct.
STAT_TOOLTIP_ADD_2	Adaugă x10 puncte.
STAT_TOOLTIP_BONUS	Bonus Caracter
STAT_TOOLTIP_IMG_CON	Vitalitate
STAT_TOOLTIP_IMG_INT	Inteligență
STAT_TOOLTIP_IMG_STR	Putere
STAT_TOOLTIP_IMG_DEX	Dexteritate
STAT_TOOLTIP_IMG_HEL	PV
STAT_TOOLTIP_IMG_SP	PM
STAT_TOOLTIP_IMG_ATT	Atac
STAT_TOOLTIP_IMG_DEF	Apărare
STAT_TOOLTIP_MOVE_SPEED	Viteză de mișcare
STAT_TOOLTIP_ATT_SPEED	Viteză de atac
STAT_TOOLTIP_CAST_SPEED	Viteză vrajă
STAT_TOOLTIP_MAG_ATT	Atac magie
STAT_TOOLTIP_MAG_DEF	Apărare magie
STAT_TOOLTIP_MAG_ER	Valoare eschivă
STAT_TOOLTIP_CON	Crește PV și apărarea
STAT_TOOLTIP_DEX	Crește atacul și evadarea
STAT_TOOLTIP_INT	Crește PM, atacul magic și apărarea
STAT_TOOLTIP_STATS	Statistici
STAT_TOOLTIP_STATUS	Status Caracter
STAT_TOOLTIP_STR	Crește valoarea atacului și daunele
SWITCHBOT_TITLE	Switchbot
SWITCHBOT_START	Start
SWITCHBOT_STOP	Stop
SWITCHBOT_RESET	Resetează
SWITCHBOT_ALTERNATIVES	Alternative posibile
SWITCHBOT_EMPTY_ATTR	- Gol -
SWITCHBOT_SELECT_ATTR	Alege bonus
SWITCHBOT_CLEAR_ATTR	Șterge
SWITCHBOT_LOAD_CONFIGURATION	Încarcă
SWITCHBOT_CLEAR_CONFIGURATION	Golește
SYMBOLLIST_TITLE	Anunță steagul breslei
SYSTEM_WHISPER	[Nirvana2]
TARGET_BUTTON_ACCEPT_FIGHT	Aprobă
TARGET_BUTTON_AVENGE	Răzbunare
TARGET_BUTTON_BLOCK	Blochează
TARGET_BUTTON_BUILDING_DESTROY	Distruge
TARGET_BUTTON_DISMOUNT	Descalecă
TARGET_BUTTON_EMOTION_ALLOW	Emoții
TARGET_BUTTON_EXCHANGE	Negociază
TARGET_BUTTON_EXCLUDE	Exclude
TARGET_BUTTON_EXIT_OBSERVER	Închide modul spectator
TARGET_BUTTON_FIGHT	Duel
TARGET_BUTTON_FRIEND	Prieten
TARGET_BUTTON_INVITE_GUILD	Invitația breslei
TARGET_BUTTON_INVITE_PARTY	Invitația grupei
TARGET_BUTTON_LEAVE_PARTY	Părăsește grupa
TARGET_BUTTON_REQUEST_ENTER_PARTY	Alătură-te grupei
TARGET_BUTTON_UNBLOCK	Deblochează
TARGET_BUTTON_VIEW_EQUIPMENT	Armament
TARGET_BUTTON_WHISPER	Șoaptă
TARGET_LEVEL_BOSS	Șef
TARGET_LEVEL_KING	Categoria 5
TARGET_LEVEL_KNIGHT	Categoria 3
TARGET_LEVEL_PAWN	Categoria 1
TARGET_LEVEL_S_KNIGHT	Categoria 4
TARGET_LEVEL_S_PAWN	Categoria 2
TASKBAR_ATTACK	Atacă
TASKBAR_AUTO	Atacă automat
TASKBAR_CAMERA	Cameră
TASKBAR_EXP	Experiență
TASKBAR_HP	PV
TASKBAR_MOVE	Mișcă
TASKBAR_SKILL	Calificare
TASKBAR_SP	PM
TASKBAR_ST	AP
TELEPORT_WINDOW_CLASS_0	Regate
TELEPORT_WINDOW_CLASS_1	Temnițe
TELEPORT_WINDOW_CLASS_2	Beta
TELEPORT_WINDOW_CLASS_3	Altele
TELEPORT_WINDOW_CONFIRM_WARP	Sunteți sigur că doriți să vă teleportați în |cff58aa51%s?
TELEPORT_WINDOW_ITEM_ICON_TOOLTIP	Obiect necesar
TELEPORT_WINDOW_ITEM_REQ	Obiect Necesar: |cff24ff00%s|h|r
TELEPORT_WINDOW_ITEM_REQ_DESC_0	Obiectul se poate obține de la
TELEPORT_WINDOW_ITEM_REQ_DESC_1	Monștri Generali & Șefi
TELEPORT_WINDOW_LEVEL_ICON_TOOLTIP	Nivel Necesar (Min-Max)
TELEPORT_WINDOW_LEVEL_REQ	Minim: |cff24ff00%d|h|r / Maxim: |cff24ff00%d|h|r
TELEPORT_WINDOW_MONEY_ICON_TOOLTIP	Costuri Teleportare (Yang)
TELEPORT_WINDOW_MONEY_REQ	Yang: |cff24ff00%s|h|r
TELEPORT_WINDOW_NO_ITEM_REQ	Teleportarea este gratuită!
TELEPORT_WINDOW_UNSELECTED_MAP_INDEX	Vă rugăm să selectați o hartă!
THING_COUNT	toate
TITLE_SYSTEM_NAME_0	Fără Titlu
TITLE_SYSTEM_NAME_1	Ucenic
TITLE_SYSTEM_NAME_2	Prieten pe viață
TITLE_SYSTEM_NAME_3	Dresor de animale
TITLE_SYSTEM_NAME_4	Erou în devenire
TITLE_SYSTEM_NAME_5	Distrugător
TITLE_SYSTEM_NAME_6	Vânător
TITLE_SYSTEM_NAME_7	Vânător Suflete
TITLE_SYSTEM_NAME_8	Călărețul fantomă
TITLE_SYSTEM_NAME_9	Îngerul cu coasă
TITLE_SYSTEM_NAME_10	Îmblânzitor Dragoni
TITLE_SYSTEM_NAME_11	Romantic
TITLE_SYSTEM_NAME_12	Titan
TITLE_SYSTEM_NAME_13	Magician Demoni
TITLE_SYSTEM_NAME_14	Neînfricat
TITLE_SYSTEM_NAME_15	Nemuritor
TITLE_SYSTEM_NAME_16	Vânator Dragoni
TITLE_SYSTEM_NAME_17	Expert
TITLE_SYSTEM_NAME_18	Legendar
TITLE_SYSTEM_NAME_19	Zeu PvP
TITLE_SYSTEM_NAME_20	Zeu PvM
TOOLTIP_ANTIFLAG_DESTROY	Șterge
TOOLTIP_ANTIFLAG_DROP	Aruncă
TOOLTIP_ANTIFLAG_GIVE	Negociază
TOOLTIP_ANTIFLAG_MYSHOP	Magazin
TOOLTIP_ANTIFLAG_NOT_POSSIBLE	[ imposibil ]
TOOLTIP_ANTIFLAG_PKDROP	PvP-Drop
TOOLTIP_ANTIFLAG_SAFEBOX	Depozit
TOOLTIP_ANTIFLAG_SELL	Vinde
TOOLTIP_ANTIFLAG_STACK	Stack
TOOLTIP_ANTI_CRITICAL_PCT	Rezistență la lovitură critică +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Rezistență la lovitură pătrunzătoare +%d%%	SA
TOOLTIP_ANTI_SELL	Nu poate fi vândut în magazin.
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Tare împotriva animalelor +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Tare împotriva ninja +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOSS	Tare împotriva șefilor +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DARK	Tare împotriva întunericului +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Tare împotriva diavolului +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_EARTH	Tare împotriva pământului +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ELEC	Tare împotriva fulgerului +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_FIRE	Tare împotriva focului +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Tare împotriva semi-oamenilor +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ICE	Tare împotriva gheții +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_METIN	Tare împotriva metinelor +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Tare împotriva esotericilor +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Tare împotriva monștrilor +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Tare împotriva orcilor +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Tare împotriva șamanilor +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Tare împotriva sura +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Puternic împotriva vampirilor +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Tare împotriva războinicilor +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WIND	Tare împotriva vântului +%d%%	SA
TOOLTIP_APPLY_BLOCK	Șansa de a bloca un atac corporal +%d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Reface în luptă PM la interval de 5 sec. %d	SA
TOOLTIP_APPLY_CRITICAL_PCT	Șansă de lovitură critică +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	Șansă %d%% de a primi înapoi PM la lovituri reușite	SA
TOOLTIP_APPLY_DODGE	Șansă %d%% de a evita atacul cu săgeți	SA
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	Șansă %d%% la bonus-EXP	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	Șansă %d%% de a arunca de două ori mai mult Yang	SA
TOOLTIP_APPLY_IMMUNE_FALL	Imun la căzătură	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Imun la încetinire	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Imun la necunoștință	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	Șansă %d%% de a arunca de 2 ori mai multe obiecte	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	Șansă %d%% de a reface PV	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	Șansă %d%% de a reface PM	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% șansă de a jefui PM	SA
TOOLTIP_APPLY_MAX_HP_PCT	Max. PV +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Max. PM +%d%%	SA
TOOLTIP_APPLY_NOAFFECT	Fără efect
TOOLTIP_APPLY_NO_DEATH_PENALTY	Nu vei perde puncte de expriență dacă caracterul tău va fi re-adus la viață în locul morții sale.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	Șansă %d%% la lovituri pătrunzătoare	SA
TOOLTIP_APPLY_POISON_PCT	Șansă de otrăvire %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Rezistență la otravă %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	%d%% creștere efect al licorii	SA
TOOLTIP_APPLY_REFLECT_CURSE	Șansă %d%% de a reflecta un blestem	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% șansă de a reflecta loviturile atacului corporal	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Șansă de apărare împotriva atacului ninja %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Apărare clopot %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Apărare pumnal %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Apărare evantai %d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Șansă de apărare împotriva atacului șamanilor %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Șansă de apărare împotriva atacului sura %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Apărare cu sabia %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Apărare cu două-mâini %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Șansă de apărare împotriva atacului războinicilor %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Rezistența vântului %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Șansă de a învăța din cărți de 2,5 ori mai bună.	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Dacă învățatul nu reușește, ai încă o încercare gratuită.	SNA
TOOLTIP_APPLY_SLOW_PCT	Șansă de încetinire %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% daune vor fi absorbite de PV.	SA
TOOLTIP_APPLY_STEAL_SP	%d%% daune vor fi absorbite de PM.	SA
TOOLTIP_APPLY_STUN_PCT	Șansă de blocare %d%%	SA
TOOLTIP_ARMOR	Armură
TOOLTIP_ARROW	Săgeată
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATT_GRADE	Valoarea atacului +%d	SA
TOOLTIP_ATT_SPEED	Viteză de atac +%d%%	SA
TOOLTIP_AUTO_POTION_HP	Elixirul Soarelui
TOOLTIP_AUTO_POTION_REST	Rămas: %.2f%%
TOOLTIP_AUTO_POTION_SP	Elixirul Lunii
TOOLTIP_AUTO_POTION_USING	Activ
TOOLTIP_BOW_DISTANCE	Autonomia arcului +%dm	SA
TOOLTIP_BUYPRICE	Preț: %s
TOOLTIP_NO_BUYPRICE	Gratis
TOOLTIP_CAST_SPEED	Viteza farmecului +%d%%	SA
TOOLTIP_CON	Vitalitate +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Bonus costum %d%%	SA
TOOLTIP_COSTUME_EXTEND_TIME	Extinde pentru %d zile
TOOLTIP_DEF_GRADE	Apărare +%d	SA
TOOLTIP_DEX	Dexteritate +%d	SA
TOOLTIP_DRAGON_SOUL_DECK1	Pământ	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Cer	SNA
TOOLTIP_EAR	Cercel
TOOLTIP_EMOJI	Emoji
TOOLTIP_EMOJI_ACTIONS	Acțiuni
TOOLTIP_EMOJI_ACTIVITIES	Activități
TOOLTIP_EMOJI_CLOSE	Închide Emoji
TOOLTIP_EMOJI_FLAGS	Steaguri
TOOLTIP_EMOJI_FOOD	Mâncare
TOOLTIP_EMOJI_NATURE	Animale și Natură
TOOLTIP_EMOJI_OBJECTS	Obiecte
TOOLTIP_EMOJI_OPEN	Deschide Emoji
TOOLTIP_EMOJI_PEOPLE	Oameni
TOOLTIP_EMOJI_PLACES	Călătorii și Locuri
TOOLTIP_EMOJI_RECENT	Recent
TOOLTIP_EMOJI_SIMBOLS	Simboluri
TOOLTIP_EMOJI_USED_ONCE	Emoji folosit o dată.
TOOLTIP_EMOJI_USED_MORE	Emoji folosit de %s ori.
TOOLTIP_ENERGY	Energie %d	SA
TOOLTIP_ETC	etc.
TOOLTIP_EVENT_MONDAY	Luni
TOOLTIP_EVENT_TUESDAY	Marți
TOOLTIP_EVENT_WEDNESDAY	Miercuri
TOOLTIP_EVENT_THURSDAY	Joi
TOOLTIP_EVENT_FRIDAY	Vineri
TOOLTIP_EVENT_SATURDAY	Sâmbătă
TOOLTIP_EVENT_SUNDAY	Duminică
TOOLTIP_EVENT_TYPE_EXPERIENCE	Eveniment Experiență
TOOLTIP_EVENT_TYPE_ITEM_DROP	Eveniment Drop
TOOLTIP_EVENT_TYPE_BOSS	Vânătoare
TOOLTIP_EVENT_TYPE_METIN	Ploaie de Metine
TOOLTIP_EVENT_TYPE_MINING	Eveniment Minerit
TOOLTIP_EVENT_TYPE_GOLD_FROG	Eveniment Broasca de Aur
TOOLTIP_EVENT_TYPE_MOONLIGHT	Eveniment Clar de Lună
TOOLTIP_EVENT_TYPE_HEXEGONAL_CHEST	Eveniment Cufăr Hexagonal
TOOLTIP_EVENT_TYPE_FISHING	Eveniment Pescuit
TOOLTIP_EVENT_TYPE_HIDE_AND_SEEK	Hide & Seek
TOOLTIP_EVENT_TYPE_OX	Eveniment OX
TOOLTIP_EVENT_TYPE_TANAKA	Eveniment Tanaka
TOOLTIP_EVENT_TYPE_YANG	Eveniment Yang
TOOLTIP_EXPANDED_COINS	Monede Dragon
TOOLTIP_EXPANDED_YANG	Yang
TOOLTIP_FISHINGROD_EXP	Puncte: %d / %d
TOOLTIP_FISHINGROD_LEVEL	Nivel: %d
TOOLTIP_FISHINGROD_UPGRADE1	Dă-o pescarului
TOOLTIP_FISHINGROD_UPGRADE2	pentru a realiza din ea
TOOLTIP_FISHINGROD_UPGRADE3	undiță
TOOLTIP_FISH_LEN	Lungime: %.2fcm
TOOLTIP_HELMET	Coif
TOOLTIP_HP_REGEN	Regenerare PV +%d%%	SA
TOOLTIP_INT	Inteligență +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Valoarea atacului %d
TOOLTIP_ITEM_ATT_POWER	Valoarea atacului %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Valoarea atacului %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Valoarea atacului %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Viteză de atac %s
TOOLTIP_ITEM_DEF_GRADE	Apărare %d
TOOLTIP_ITEM_FAST	Repede
TOOLTIP_ITEM_LIMIT_CON	Limita superioară a vitalității %d
TOOLTIP_ITEM_LIMIT_DEX	Limita superioară a dexterității: %d
TOOLTIP_ITEM_LIMIT_INT	Limita superioară a inteligenței: %d
TOOLTIP_ITEM_LIMIT_LEVEL	De la nivelul: %d
TOOLTIP_ITEM_LIMIT_STR	Limita superioară a puterii: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Valoarea atacului magic %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Valoarea atacului magic %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Apărare magică %d
TOOLTIP_ITEM_NORMAL	Normal
TOOLTIP_ITEM_SLOW	Încet
TOOLTIP_ITEM_VERY_FAST	Foarte repede
TOOLTIP_ITEM_VERY_SLOW	Foarte încet
TOOLTIP_ITEM_VNUM	Item %d
TOOLTIP_ITEM_WEARABLE_JOB	[ echipabil ]
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Număr norocos: %d
TOOLTIP_MAGIC_ATTBONUS_PER	Atac magic +%d%%	SA
TOOLTIP_MAGIC_ATT_GRADE	Valoarea atacului magic +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Apărare magică +%d	SA
TOOLTIP_MALL_ATTBONUS	Valoarea atacului +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Valoarea atacului +12~15%	SNA
TOOLTIP_MALL_AUTOLOOT	Yang este însușit automat.	SNA
TOOLTIP_MALL_DEFBONUS	Apărare +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Apărare +12~15%	SNA
TOOLTIP_MALL_EXPBONUS	EXP +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	50% mai mult EXP	SNA
TOOLTIP_MALL_FISH_MIND	Șansă de a prinde un pește este mai mare.	SNA
TOOLTIP_MALL_GOLDBONUS	Șansă de drop Yang (%.1f)	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Șansă dublă de drop Yang	SNA
TOOLTIP_MALL_ITEMBONUS	Șansă de drop obiecte (%.1f)	SA
